employee_id,employee_name,gender,age,DOB,marital_status,department,job_role,education_level,education_field,hire_date,years_at_company,monthly_salary,hourly_rate,overtime,performance_rating,job_satisfaction,environment_satisfaction,work_life_balance,training_times_last_year,num_companies_worked,promotion_last_years,distance_from_home,business_travel,city,manager_name,attrition,reason_for_leaving,exit_date,missing_survey_data,duplicate_emp_id,age_group,tenure_group
EMP2366,Brenda Vincent,Male,40.0,1989-02-14,Married,Sales,Sales Representative,2,Business,,9,58300.0,61.35,No,4.0,1.0,2.0,3.0,3.0,4.0,0,19.8,Travel_Frequently,Mejiamouth,Ashley Ward,No,,,False,False,36-45,6+yr
EMP2493,Dana Lewis,Male,30.0,,Married,Human Resources,HR Executive,4,Business,,7,101800.0,32.19,No,4.0,3.0,3.0,,4.0,3.0,0,,Travel_Frequently,Youngside,Nancy Santiago,No,,,True,False,26-35,6+yr
EMP1479,Dana Matthews,Male,42.0,,Married,Sales,Sales Executive,2,Marketing,,9,45600.0,70.6,No,2.0,4.0,2.0,2.0,3.0,3.0,1,,Travel_Frequently,Josephfort,Adam Alvarado,No,,,False,False,36-45,6+yr
EMP1353,David Anderson,Female,51.0,,Single,IT,IT Support,4,Medical,2022-08-12,2,88700.0,57.32,No,5.0,1.0,4.0,,2.0,3.0,0,16.5,Travel_Frequently,West Patrickburgh,William Valdez,No,,,True,True,46-65,1-3yr
EMP1313,Lisa English,Female,25.0,,Divorced,Marketing,Marketing Manager,4,Life Sciences,,5,22500.0,66.49,No,1.0,,2.0,2.0,2.0,5.0,3,13.7,Travel_Frequently,Port Maria,Joseph Smith,No,,,True,False,18-25,3-6yr
EMP2174,Virginia Berger,Male,50.0,,Divorced,Finance,Finance Manager,5,Marketing,2022-04-02,2,118200.0,55.71,Yes,1.0,4.0,,4.0,4.0,3.0,2,,Travel_Frequently,West Oscar,Melinda Hogan,No,,,True,False,46-65,1-3yr
EMP2236,Richard Ponce Jr.,Female,41.0,,Divorced,Human Resources,HR Executive,2,Medical,2019-04-26,5,85900.0,60.32,Yes,5.0,4.0,2.0,4.0,3.0,5.0,0,20.7,Travel_Rarely,Tamaraville,Ronald Boyle,No,,,False,False,36-45,3-6yr
EMP2131,Ms. Audrey Barnett Dds,Male,59.0,,Divorced,Sales,Sales Manager,2,Medical,,6,102800.0,85.02,Yes,4.0,3.0,1.0,2.0,2.0,4.0,3,,Non-Travel,West Amyside,Noah Thornton,No,,,False,False,46-65,3-6yr
EMP2481,Zachary Levy,Male,50.0,,Divorced,IT,IT Support,2,Marketing,,5,93800.0,96.67,No,2.0,3.0,2.0,1.0,1.0,3.0,1,,Travel_Rarely,North Wendyside,Patricia Martin,No,,,False,False,46-65,3-6yr
EMP1302,Angela Lane,Female,48.0,,Not Disclosed,Research & Development,Data Analyst,5,Medical,,4,110900.0,36.3,No,1.0,2.0,4.0,,2.0,0.0,1,3.0,Non-Travel,Port Johnmouth,Mrs. Lisa Holt,No,,,True,False,46-65,3-6yr
EMP2054,Edward Butler Md,Male,60.0,,Single,Finance,Accountant,3,Human Resources,2023-01-06,1,83700.0,88.49,No,3.0,,1.0,3.0,2.0,1.0,2,20.3,Travel_Rarely,Meganstad,Troy Taylor,Yes,Better Opportunity,,True,False,46-65,<1yr
EMP1120,Charles Munoz,Male,36.0,1981-10-22,Single,Marketing,Marketing Manager,2,Marketing,,3,43700.0,99.4,Yes,5.0,,,,1.0,0.0,0,,Non-Travel,Haynesshire,Jennifer Perez,No,,,True,False,36-45,1-3yr
EMP1288,Belinda Taylor,Female,24.0,2000-10-25,Divorced,Finance,Finance Manager,2,Life Sciences,,2,69650.0,44.42,Yes,3.0,,4.0,4.0,1.0,0.0,2,22.7,Non-Travel,Whiteside,Carly Walker,No,,,True,False,18-25,1-3yr
EMP1579,Charles Hurst,Male,44.0,,Not Disclosed,Human Resources,HR Executive,5,Technical Degree,,4,38400.0,86.32,Yes,3.0,2.0,2.0,3.0,2.0,4.0,0,10.5,Travel_Rarely,South Robert,April Barnes,No,,,False,False,36-45,3-6yr
EMP1911,Timothy Barnes,Male,40.0,,Single,Research & Development,Lab Technician,4,Human Resources,,1,68700.0,87.59,No,4.0,,2.0,3.0,3.0,2.0,3,,Travel_Frequently,Nathantown,Jennifer Pacheco,Yes,,,True,False,36-45,<1yr
EMP1982,Thomas Parker,Male,41.0,,Married,Finance,Accountant,5,Technical Degree,,6,65900.0,74.45,Yes,3.0,2.0,2.0,1.0,3.0,6.0,2,29.8,Travel_Frequently,East Dustinburgh,Joann Aguilar,No,,,False,False,36-45,3-6yr
EMP1783,Nicole Hawkins,Female,45.0,1968-07-02,Single,Finance,Finance Manager,2,Human Resources,,3,69650.0,33.15,No,3.0,3.0,3.0,1.0,1.0,3.0,0,7.3,Non-Travel,Aprilburgh,Taylor Graham,No,,,False,False,36-45,1-3yr
EMP1340,Cheryl Ramirez,Male,41.0,1998-03-21,Single,Finance,Financial Analyst,3,Life Sciences,,5,68300.0,44.56,Yes,2.0,1.0,4.0,2.0,5.0,4.0,2,,Travel_Frequently,Martinchester,Adam Lewis,No,,,False,False,36-45,3-6yr
EMP1870,Hunter Montoya,Female,37.0,,Married,Finance,Finance Manager,5,Marketing,2018-07-08,6,112200.0,69.31,Yes,2.0,3.0,2.0,3.0,4.0,6.0,3,,Non-Travel,North Mariaberg,Ashley Butler,No,,,False,False,36-45,3-6yr
EMP1031,Joshua Robertson,Male,24.0,,Single,Research & Development,Research Scientist,4,Marketing,,7,66800.0,80.28,Yes,3.0,4.0,2.0,1.0,2.0,4.0,0,9.0,Travel_Frequently,Brianburgh,Benjamin Mays,No,,,False,False,18-25,6+yr
EMP1054,Jennifer Allen,Female,36.0,1984-12-12,Single,Marketing,Marketing Executive,3,Technical Degree,2021-01-06,3,61300.0,44.35,Yes,3.0,4.0,3.0,1.0,2.0,4.0,2,,Travel_Frequently,East Dawnland,Taylor Crawford,No,,,False,False,36-45,1-3yr
EMP2440,Vicki Henson,Female,24.0,1998-05-08,Divorced,Finance,Accountant,1,Human Resources,,2,27000.0,67.03,No,5.0,,3.0,4.0,0.0,0.0,3,13.8,Travel_Frequently,Thomasport,William Mosley,Yes,Higher Salary,,True,False,18-25,1-3yr
EMP1202,Donna Hoffman,Female,44.0,,Single,Human Resources,HR Manager,4,Marketing,,5,115200.0,74.7,Yes,4.0,3.0,3.0,3.0,5.0,5.0,0,24.4,Travel_Frequently,Rogersland,Jennifer Durham,No,,,False,False,36-45,3-6yr
EMP1928,Jacqueline Walker,Male,33.0,,Divorced,Research & Development,Research Scientist,4,Business,,1,66350.0,95.44,No,3.0,4.0,1.0,,4.0,6.0,3,,Travel_Rarely,Port Johnfurt,Jason Reynolds,No,,,True,False,26-35,<1yr
EMP1412,Belinda Rocha,Male,39.0,,Single,Research & Development,Lab Technician,4,Life Sciences,,4,73600.0,95.14,No,5.0,1.0,4.0,1.0,2.0,6.0,1,8.6,Travel_Frequently,Johnsonberg,Joseph Hoover,Yes,Retirement,,False,False,36-45,3-6yr
EMP2303,Diana Little,Female,21.0,,Single,IT,System Admin,4,Marketing,2015-01-07,9,111100.0,92.32,Yes,2.0,,4.0,2.0,1.0,3.0,1,,Non-Travel,Collinsport,Tracie Smith,No,,,True,False,18-25,6+yr
EMP1379,Jill Porter,Not Disclosed,36.0,,Married,Finance,Financial Analyst,1,Human Resources,,3,90000.0,72.19,Yes,1.0,,,,0.0,6.0,0,,Travel_Frequently,Rachelside,Billy Merritt,No,,,True,False,36-45,1-3yr
EMP1065,Philip Phillips,Male,34.0,,Single,IT,Software Engineer,2,Medical,,5,51400.0,44.6,No,3.0,,2.0,,5.0,1.0,2,8.7,Non-Travel,East Todd,Kurt Weeks,Yes,,,True,False,26-35,3-6yr
EMP2148,Jason Johnson,Female,30.0,,Married,Finance,Accountant,2,Medical,,8,73200.0,76.96,Yes,3.0,1.0,2.0,1.0,5.0,3.0,1,,Non-Travel,North Valerie,Catherine Strickland,No,,,False,False,26-35,6+yr
EMP1903,Robert Juarez,Male,59.0,1983-02-05,Single,Research & Development,Lab Technician,2,Business,,5,111400.0,89.08,No,3.0,4.0,3.0,3.0,4.0,3.0,1,3.4,Non-Travel,New Donald,Jacqueline Hart,No,,,False,False,46-65,3-6yr
EMP1179,Joseph Jones,Female,27.0,,Single,Finance,Financial Analyst,1,Human Resources,,5,68300.0,53.49,Yes,1.0,2.0,1.0,1.0,1.0,4.0,2,8.0,Travel_Frequently,East Donaldfurt,Madeline Lamb,Yes,Better Opportunity,,False,False,26-35,3-6yr
EMP1764,Priscilla Hughes,Female,33.0,,Not Disclosed,Research & Development,Lab Technician,4,Medical,,1,81800.0,92.44,No,3.0,,,2.0,2.0,5.0,0,34.4,Travel_Frequently,Delgadostad,Amanda White,No,,,True,False,26-35,<1yr
EMP1229,Breanna Grimes,Male,58.0,1986-11-02,Single,Research & Development,Research Scientist,1,Medical,,4,51500.0,58.47,No,3.0,2.0,4.0,4.0,1.0,0.0,1,,Non-Travel,East Erika,Bradley Guerrero,No,,,False,False,46-65,3-6yr
EMP2449,Mrs. Amanda Walker,Not Disclosed,44.0,2003-04-18,Married,IT,IT Support,1,Medical,,4,36900.0,39.31,No,2.0,,1.0,3.0,5.0,3.0,1,,Travel_Frequently,Tracychester,Kimberly Sosa,No,,,True,False,36-45,3-6yr
EMP1081,Marissa Sanders,Male,49.0,,Single,Research & Development,Lab Technician,4,Medical,,1,17700.0,88.77,Yes,3.0,2.0,3.0,4.0,0.0,5.0,3,36.2,Travel_Rarely,Robertton,Keith Howard,No,,,False,False,46-65,<1yr
EMP2291,Vanessa Hunter,Male,49.0,1992-07-01,Divorced,Sales,Sales Representative,3,Medical,,2,58300.0,39.39,No,3.0,3.0,4.0,2.0,2.0,2.0,0,22.1,Travel_Rarely,Halltown,Miranda Butler,No,,,False,False,46-65,1-3yr
EMP1339,Susan Norton Dds,Female,41.0,,Divorced,IT,System Admin,3,Business,,8,89500.0,69.46,No,3.0,,2.0,2.0,1.0,4.0,3,,Travel_Rarely,New Annahaven,Hector Douglas,No,,,True,False,36-45,6+yr
EMP1163,Paula Rubio,Male,45.0,,Married,Marketing,Marketing Executive,5,Human Resources,,6,78800.0,51.65,Yes,3.0,,1.0,3.0,0.0,1.0,0,,Travel_Rarely,Lake Charlesmouth,Brian Diaz,Yes,Career Change,,True,False,36-45,3-6yr
EMP2371,Audrey Hall Dds,Female,35.0,2002-09-27,Married,Research & Development,Data Analyst,1,Technical Degree,2018-07-26,6,107300.0,98.69,No,1.0,,2.0,3.0,4.0,3.0,1,10.8,Travel_Frequently,West Alexandria,Robert Gibson,Yes,Health Issues,,True,False,26-35,3-6yr
EMP1361,Daniel Hughes,Male,35.0,1996-12-31,Single,Marketing,Marketing Manager,3,Business,2015-12-17,9,49500.0,66.01,Yes,3.0,1.0,,2.0,2.0,4.0,3,9.0,Travel_Frequently,Port Michael,Mario Singleton,No,,,True,False,26-35,6+yr
EMP1902,Matthew Gardner,Not Disclosed,48.0,,Single,Sales,Sales Representative,4,Marketing,,3,46900.0,50.22,Yes,3.0,,2.0,2.0,0.0,6.0,1,,Travel_Rarely,New Cathy,Charles Rowe,No,,,True,False,46-65,1-3yr
EMP1375,Christopher Clayton,Male,29.0,,Single,IT,IT Support,1,Medical,,4,61700.0,55.33,No,1.0,2.0,,3.0,4.0,2.0,3,,Non-Travel,Catherinefort,Michelle Taylor,No,,,True,False,26-35,3-6yr
EMP2295,Mark Chapman,Male,24.0,,Divorced,IT,Software Engineer,4,Business,,7,35100.0,59.9,No,5.0,4.0,3.0,,5.0,2.0,3,21.2,Non-Travel,Lake Lisatown,Cody Gilbert,No,,,True,False,18-25,6+yr
EMP1328,Daniel Daniel,Female,51.0,,Married,Research & Development,Research Scientist,4,Medical,2021-02-10,3,102200.0,70.17,No,5.0,2.0,2.0,4.0,2.0,3.0,0,,Non-Travel,East Jeffrey,Cynthia Martinez,No,,,False,False,46-65,1-3yr
EMP1800,Donald Santiago,Male,27.0,1982-04-25,Single,Sales,Sales Representative,1,Medical,2021-05-11,3,106800.0,98.67,Yes,1.0,3.0,1.0,,1.0,4.0,1,21.9,Travel_Rarely,Sharonstad,Alisha Henry,No,,,True,False,26-35,1-3yr
EMP1285,Sean Pham,Not Disclosed,22.0,1999-11-20,Married,Research & Development,Data Analyst,5,Technical Degree,,7,117300.0,96.97,Yes,5.0,1.0,,2.0,0.0,3.0,3,,Travel_Frequently,East Brett,Jacqueline Marshall,No,,,True,False,18-25,6+yr
EMP1856,Melinda Oneill,Female,48.0,,Single,IT,Software Engineer,2,Marketing,,1,94900.0,40.68,No,4.0,1.0,1.0,,4.0,3.0,0,15.3,Travel_Frequently,New Melissa,Kyle Gray,No,,,True,False,46-65,<1yr
EMP2220,Angela Ramirez,Not Disclosed,47.0,1985-02-15,Not Disclosed,Marketing,Marketing Executive,5,Human Resources,,2,32900.0,62.41,No,1.0,,,4.0,2.0,5.0,0,,Travel_Rarely,New Kimberly,Gregory Ford,No,,,True,False,46-65,1-3yr
EMP2101,Thomas Hernandez,Female,45.0,1980-01-28,Married,IT,System Admin,5,Life Sciences,,1,66000.0,45.41,No,2.0,1.0,1.0,2.0,4.0,0.0,2,26.2,Non-Travel,Williammouth,Angela Landry,No,,,False,False,36-45,<1yr
EMP1426,Chad Strong,Male,55.0,2004-08-21,Married,Finance,Finance Manager,5,Technical Degree,2020-07-18,4,19200.0,40.48,Yes,3.0,,4.0,4.0,2.0,4.0,3,7.7,Travel_Rarely,Alexanderview,Steven Bailey,No,,,True,False,46-65,3-6yr
EMP1210,Heather Fuller,Male,28.0,1972-11-20,Married,Finance,Accountant,4,Marketing,,8,69800.0,54.49,Yes,3.0,3.0,4.0,1.0,2.0,4.0,3,,Travel_Rarely,Lake Erica,Lee Jordan,No,,,False,False,26-35,6+yr
EMP1906,Donald Brown,Female,38.0,,Single,Finance,Financial Analyst,3,Human Resources,,3,109900.0,85.36,Yes,3.0,1.0,1.0,4.0,2.0,3.0,2,35.1,Travel_Rarely,Whiteport,Kayla Chandler,Yes,Higher Salary,,False,False,36-45,1-3yr
EMP2117,Micheal Watkins,Female,51.0,,Married,Sales,Sales Executive,3,Medical,,5,55200.0,83.29,No,1.0,2.0,,4.0,3.0,6.0,0,19.7,Travel_Rarely,Deborahmouth,Wendy Williams,No,,,True,False,46-65,3-6yr
EMP1098,Karen Taylor,Not Disclosed,53.0,,Single,Human Resources,Recruiter,4,Life Sciences,,7,79400.0,75.51,No,3.0,,3.0,2.0,5.0,3.0,2,11.7,Travel_Frequently,South Cody,Shelby Casey,No,,,True,False,46-65,6+yr
EMP1284,Abigail Hinton,Female,33.0,1976-08-09,Divorced,Marketing,Marketing Executive,5,Business,2017-05-12,7,50400.0,37.17,No,5.0,3.0,3.0,1.0,3.0,1.0,0,,Non-Travel,Patrickport,Jennifer Williams,Yes,Health Issues,,False,False,26-35,6+yr
EMP2156,Billy Wang,Female,21.0,,Divorced,Finance,Financial Analyst,1,Business,,1,74500.0,63.49,No,3.0,2.0,,,2.0,0.0,3,,Travel_Frequently,Port Catherine,Daniel Murphy,Yes,Retirement,2024-12-21,True,False,18-25,<1yr
EMP1762,Betty Butler,Male,56.0,,Divorced,IT,Software Engineer,1,Human Resources,,3,57900.0,94.24,Yes,2.0,4.0,2.0,4.0,0.0,2.0,3,,Travel_Rarely,Mackfort,Chelsea Crawford,No,,,False,False,46-65,1-3yr
EMP1643,Stacy Parker,Male,27.0,1999-07-21,Married,Research & Development,Research Scientist,2,Business,,3,56400.0,90.84,No,3.0,2.0,2.0,4.0,5.0,2.0,2,34.6,Travel_Frequently,South Sarah,Brandon Rodriguez,No,,,False,False,26-35,1-3yr
EMP2110,Alicia Hale,Female,27.0,,Married,Human Resources,HR Manager,4,Medical,2022-12-09,2,107100.0,61.65,Yes,3.0,,,1.0,5.0,0.0,0,12.5,Travel_Rarely,Fisherville,Kristen Hernandez,No,,,True,False,26-35,1-3yr
EMP2432,James Diaz,Not Disclosed,23.0,,Single,IT,IT Support,2,Medical,2021-11-15,3,56300.0,41.66,Yes,3.0,,1.0,4.0,5.0,6.0,1,7.2,Non-Travel,Foleyview,Shelly Gomez,No,,,True,False,18-25,1-3yr
EMP2161,Michelle White,Male,44.0,1966-12-25,Married,Sales,Sales Manager,3,Life Sciences,,4,87000.0,37.47,Yes,5.0,2.0,1.0,1.0,5.0,1.0,2,7.1,Travel_Rarely,Brianbury,Krystal Wilson,No,,,False,False,36-45,3-6yr
EMP1988,Mathew Ramos,Male,23.0,,Married,Human Resources,HR Manager,5,Medical,2022-09-19,2,45900.0,74.58,Yes,3.0,4.0,3.0,2.0,3.0,0.0,1,31.9,Non-Travel,South Michaelshire,Charles Suarez,No,,,False,False,18-25,1-3yr
EMP2373,Cynthia Joyce,Male,54.0,,Married,Sales,Sales Executive,2,Medical,,5,91500.0,96.15,Yes,3.0,4.0,1.0,4.0,3.0,3.0,0,,Travel_Rarely,Kingborough,Andrew Sloan,No,,,False,False,46-65,3-6yr
EMP1972,Meghan Fowler,Not Disclosed,31.0,,Married,IT,IT Support,4,Marketing,,8,29600.0,34.24,Yes,4.0,2.0,2.0,2.0,4.0,1.0,1,,Travel_Frequently,Camposton,Brittany Bowen,No,,,False,False,26-35,6+yr
EMP2380,Thomas Mcintosh,Female,41.0,,Single,Marketing,Content Strategist,4,Technical Degree,2022-12-20,2,33600.0,87.54,No,3.0,2.0,2.0,1.0,5.0,2.0,1,38.5,Non-Travel,Kathrynville,Roberto Schmidt,No,,,False,False,36-45,1-3yr
EMP1425,Brianna Diaz,Female,25.0,,Married,IT,IT Support,4,Business,,2,110800.0,77.65,Yes,3.0,2.0,3.0,4.0,3.0,3.0,3,34.5,Travel_Rarely,West Laurie,Juan Curtis,No,,,False,False,18-25,1-3yr
EMP2195,Margaret Blackburn,Male,45.0,,Single,Sales,Sales Manager,5,Business,2022-10-14,2,74450.0,76.35,No,2.0,3.0,4.0,1.0,2.0,3.0,0,20.0,Non-Travel,West Gabrielside,Crystal King,No,,,False,False,36-45,1-3yr
EMP2390,Stephanie Foster,Male,59.0,,Married,Research & Development,Lab Technician,4,Technical Degree,,9,64250.0,51.12,No,3.0,2.0,3.0,3.0,4.0,6.0,1,6.4,Travel_Frequently,Paulbury,John Khan,No,,,False,False,46-65,6+yr
EMP2126,Randy Espinoza,Male,31.0,1967-04-16,Not Disclosed,Research & Development,Research Scientist,2,Life Sciences,,1,64500.0,52.99,Yes,1.0,2.0,,4.0,5.0,2.0,3,17.9,Travel_Rarely,Wendyhaven,Fernando Brown,No,,,True,False,26-35,<1yr
EMP1362,Brandon Patton,Male,38.0,1992-02-01,Single,Marketing,Marketing Manager,4,Technical Degree,,7,68400.0,73.58,Yes,2.0,4.0,2.0,3.0,2.0,1.0,3,35.4,Non-Travel,Henryberg,Dr. Anthony King,No,,,False,False,36-45,6+yr
EMP1624,Kristopher Morgan,Female,58.0,,Married,Research & Development,Research Scientist,5,Business,,7,70200.0,58.63,No,5.0,,,1.0,4.0,5.0,2,34.7,Non-Travel,East Susanmouth,David White,No,,,True,False,46-65,6+yr
EMP1896,Eric Spencer,Female,45.0,,Married,Marketing,Marketing Manager,5,Marketing,,8,113900.0,61.02,No,3.0,4.0,,2.0,0.0,3.0,3,,Non-Travel,East Jessestad,Phillip Acosta,No,,,True,False,36-45,6+yr
EMP1598,Douglas Reed,Male,57.0,,Divorced,Marketing,Marketing Manager,1,Human Resources,,2,104800.0,97.84,No,4.0,1.0,2.0,,2.0,3.0,0,,Travel_Frequently,New Bradleyburgh,Sharon Miller,No,,,True,False,46-65,1-3yr
EMP1336,Natalie Ayala,Female,54.0,,Divorced,Finance,Finance Manager,4,Technical Degree,2021-10-18,3,69300.0,32.22,Yes,4.0,4.0,1.0,3.0,2.0,3.0,0,,Travel_Frequently,Julietown,Miranda Ball,No,,,False,False,46-65,1-3yr
EMP1133,Rachel Roberson,Male,30.0,,Single,Marketing,Marketing Executive,2,Human Resources,,3,87800.0,99.37,No,2.0,1.0,1.0,,2.0,0.0,0,,Non-Travel,Lake Maryville,Deborah Young,No,,,True,False,26-35,1-3yr
EMP1459,Jose Hebert,Male,43.0,,Not Disclosed,Research & Development,Lab Technician,2,Business,,5,112400.0,60.27,Yes,3.0,4.0,,,0.0,1.0,1,30.8,Travel_Rarely,Port Colleen,Jonathon Rogers,No,,,True,False,36-45,3-6yr
EMP1354,Pamela Copeland,Female,30.0,2005-05-23,Divorced,IT,IT Support,4,Technical Degree,,3,61700.0,88.71,Yes,3.0,2.0,1.0,1.0,1.0,3.0,0,21.7,Travel_Rarely,Lindatown,David Mercado,Yes,Retirement,2023-02-07,False,False,26-35,1-3yr
EMP1073,Patricia Lawson,Female,44.0,,Single,Human Resources,HR Executive,3,Business,,7,81100.0,63.39,No,3.0,4.0,3.0,,2.0,4.0,2,,Non-Travel,Kristenland,Jenna Moore,No,,,True,False,36-45,6+yr
EMP1960,Michael Cruz,Not Disclosed,48.0,,Married,Marketing,Content Strategist,5,Business,,7,32200.0,32.82,Yes,3.0,2.0,4.0,1.0,5.0,4.0,2,23.0,Travel_Frequently,West Kevin,Shane Gray,Yes,Retirement,,False,False,46-65,6+yr
EMP1144,Jessica Smith,Female,33.0,,Married,Marketing,Content Strategist,4,Business,,1,31300.0,94.67,No,1.0,2.0,4.0,3.0,2.0,3.0,2,28.6,Travel_Frequently,East Mollyberg,Donald Carroll,No,,,False,True,26-35,<1yr
EMP2355,Nancy Pitts,Female,42.0,,Single,Human Resources,HR Executive,3,Technical Degree,2017-09-29,7,109200.0,39.56,No,3.0,3.0,,4.0,0.0,5.0,2,,Travel_Rarely,East Nicholaston,Melissa Morgan,No,,,True,False,36-45,6+yr
EMP2271,Kayla Woodward,Female,59.0,,Divorced,Research & Development,Data Analyst,4,Life Sciences,,1,57800.0,89.22,Yes,4.0,1.0,1.0,3.0,5.0,4.0,1,,Travel_Frequently,West Kimberly,Elizabeth Hammond,No,,,False,False,46-65,<1yr
EMP1877,Ebony Reilly,Female,51.0,1994-04-14,Married,Sales,Sales Executive,1,Life Sciences,,5,74150.0,85.44,No,3.0,4.0,2.0,2.0,4.0,4.0,0,35.5,Travel_Frequently,South Marcfort,Jose Manning,No,,,False,False,46-65,3-6yr
EMP2315,Karen Blackburn,Not Disclosed,23.0,1994-01-02,Single,Marketing,Marketing Executive,5,Business,2023-04-19,1,74400.0,53.41,No,2.0,3.0,1.0,4.0,3.0,2.0,1,21.5,Non-Travel,Fergusonbury,Steve Hunt,No,,,False,False,18-25,<1yr
EMP2388,Nicholas Rogers,Male,57.0,,Single,IT,System Admin,5,Human Resources,,4,75600.0,35.67,No,3.0,,2.0,4.0,2.0,5.0,1,1.6,Non-Travel,South Valerie,Thomas Tyler,Yes,Relocation,,True,False,46-65,3-6yr
EMP1381,Kaitlyn Powers,Male,43.0,,Single,Sales,Sales Manager,5,Life Sciences,2015-02-01,9,113800.0,88.93,Yes,1.0,2.0,3.0,3.0,1.0,0.0,0,,Non-Travel,Morganburgh,Frederick Maddox,No,,,False,False,36-45,6+yr
EMP1772,Lindsey Scott,Male,51.0,,Divorced,Human Resources,HR Executive,4,Technical Degree,,5,83160.0,72.15,Yes,5.0,2.0,2.0,1.0,2.0,1.0,3,,Non-Travel,Brownfurt,Jason Hatfield,No,,,False,True,46-65,3-6yr
EMP1290,Matthew Scott,Not Disclosed,46.0,,Married,IT,Software Engineer,4,Life Sciences,,3,90800.0,64.7,No,5.0,1.0,3.0,1.0,1.0,0.0,1,,Non-Travel,Port Brian,Amanda Huff,No,,,False,False,46-65,1-3yr
EMP1315,Paul King,Male,58.0,,Married,IT,System Admin,5,Technical Degree,2019-08-17,5,45200.0,31.26,No,1.0,4.0,1.0,,3.0,1.0,3,32.6,Non-Travel,Seanport,Matthew Welch,No,,,True,False,46-65,3-6yr
EMP2479,Alexander Wilkins,Female,41.0,1977-01-20,Single,Finance,Accountant,1,Technical Degree,2022-04-27,2,48300.0,43.83,No,1.0,3.0,,4.0,3.0,3.0,1,4.8,Travel_Frequently,Lake Kevinbury,Casey Jackson,No,,,True,False,36-45,1-3yr
EMP1486,Megan Crawford,Female,56.0,,Divorced,Human Resources,HR Manager,3,Medical,2016-10-11,8,36200.0,60.99,No,3.0,1.0,4.0,3.0,1.0,6.0,3,6.5,Non-Travel,North Deanna,Deanna Newman,No,,,False,False,46-65,6+yr
EMP1905,Paula Johnson,Not Disclosed,41.0,,Married,Sales,Sales Manager,5,Technical Degree,,3,31900.0,37.02,No,3.0,4.0,,3.0,5.0,5.0,2,,Travel_Rarely,Hendersonchester,Christopher Little,No,,,True,False,36-45,1-3yr
EMP1819,Jennifer Mack,Male,53.0,,Not Disclosed,Research & Development,Research Scientist,4,Business,2018-10-24,6,66350.0,69.12,No,3.0,2.0,,4.0,5.0,2.0,0,,Non-Travel,Jensenchester,David Ortiz,No,,,True,False,46-65,3-6yr
EMP2160,Holly Tucker,Male,36.0,1971-04-27,Single,Human Resources,HR Manager,1,Medical,,8,119700.0,74.98,No,2.0,4.0,2.0,2.0,3.0,3.0,2,35.2,Non-Travel,Lake Barbara,Christy Johnson,No,,,False,False,36-45,6+yr
EMP1335,Michelle Gibson,Male,52.0,,Single,Research & Development,Data Analyst,3,Medical,,8,76400.0,73.57,Yes,3.0,3.0,3.0,,3.0,4.0,2,,Travel_Rarely,Martinborough,Alice Waters,Yes,Career Change,,True,False,46-65,6+yr
EMP1209,Donald Johnson,Male,50.0,1992-10-21,Divorced,Research & Development,Data Analyst,4,Technical Degree,,4,76400.0,76.39,No,1.0,2.0,3.0,4.0,2.0,5.0,1,14.3,Non-Travel,Pennytown,Melissa Wright,No,,,False,False,46-65,3-6yr
EMP2066,Julie Chan,Male,49.0,1991-01-19,Married,IT,IT Support,3,Human Resources,,7,61700.0,30.35,No,4.0,2.0,,1.0,0.0,1.0,0,,Travel_Frequently,Port Ivan,Carrie Andersen,No,,,True,False,46-65,6+yr
EMP1408,Susan Leon,Female,44.0,1999-04-29,Single,IT,Software Engineer,4,Business,,1,58200.0,91.08,Yes,2.0,,,1.0,3.0,1.0,2,18.5,Non-Travel,Theodoremouth,Sheila Lewis,No,,,True,False,36-45,<1yr
EMP2258,Paul Ross,Male,31.0,,Married,Research & Development,Lab Technician,1,Marketing,,9,68700.0,86.1,No,2.0,4.0,3.0,4.0,4.0,3.0,0,,Travel_Frequently,South Thomas,Sean Floyd,No,,,False,False,26-35,6+yr
EMP1553,Donna Pitts,Male,39.0,,Single,Marketing,Marketing Manager,2,Medical,2020-04-21,4,40800.0,33.71,Yes,3.0,1.0,1.0,2.0,5.0,0.0,0,24.3,Travel_Rarely,East Samantha,Shelia Gutierrez,No,,,False,False,36-45,3-6yr
EMP1963,Mr. Benjamin Fields Dds,Male,48.0,,Single,Marketing,Marketing Manager,1,Business,2017-03-16,7,72300.0,51.24,No,4.0,1.0,1.0,1.0,5.0,2.0,2,33.5,Travel_Frequently,Smithport,Troy Taylor,No,,,False,False,46-65,6+yr
EMP2350,Kristin Flores,Not Disclosed,41.0,1980-04-17,Married,IT,IT Support,1,Human Resources,,8,106500.0,38.03,Yes,3.0,1.0,1.0,2.0,3.0,4.0,0,,Non-Travel,New Brianna,Christopher Brown,No,,,False,False,36-45,6+yr
EMP1155,Brittany Williams,Not Disclosed,36.0,2005-07-04,Divorced,Human Resources,HR Manager,3,Marketing,,6,53000.0,54.61,No,5.0,4.0,3.0,4.0,2.0,3.0,1,16.2,Travel_Rarely,West Cynthialand,Kyle Cooper,No,,,False,False,36-45,3-6yr
